2020 Games Played,,,,,,,,,
SNES,N02,DS,NM05,Switch,N07,PS4,PS04,PC,PC01
Game ,Time,Game ,Time,Game ,Time,Game,Time,Game,Time
1,6:00,0,,4,55:30,1,00:00,10,297:33
Super Mario World 2: Yoshi's Island,6:00,,,Super Mario Odyssey,5:30,Tony Hawks Pro Skater 1 + 2,,Astroneer,61:00
,,,,Untitled Goose Game,5:00,,,Doom Eternal,22:00
,,,,Paper Mario: The Origami King,35:00,,,Hearthstone: Battlegrounds,85:00
,,,,Super Mario Galaxy,10:00,,,Hitman 2,7:00
,,,,,,,,Minecraft Dungeons,4:33
,,,,,,,,No Man's Sky,49:00
,,,,,,,,Poly Bridge 2,39:00
,,,,,,,,Portal,20:00
,,,,,,,,World of Warcraft: Shadowlands,
,,,,,,,,Wolfenstein II: The New Colossus,10:00